algorithm,length,t,comps,swaps
bubblesort,10,4.7181299305520954e-05,90.0,22.6
bubblesort,20,0.0001935061998665333,380.0,95.55
bubblesort,30,0.00033678809995763004,870.0,214.95
bubblesort,40,0.0007569930981844664,1560.0,397.85
bubblesort,50,0.0011456799460574985,2450.0,619.3
bubblesort,60,0.0018015913970884866,3540.0,919.75
bubblesort,70,0.002595273099723272,4830.0,1229.7
bubblesort,80,0.002840396051760763,6320.0,1619.65
bubblesort,90,0.0037521266494877636,8010.0,2054.1
bubblesort2,10,3.396404936211184e-05,63.9,22.6
bubblesort2,20,0.00013507300027413294,307.8,95.55
bubblesort2,30,0.00034325919696129856,687.3,214.95
bubblesort2,40,0.0005581594028626569,1320.15,397.85
bubblesort2,50,0.0011525354493642226,2143.75,619.3
bubblesort2,60,0.0025075529498280956,3094.55,919.75
bubblesort2,70,0.002881205397716258,4198.65,1229.7
bubblesort2,80,0.003524007654050365,5585.3,1619.65
bubblesort2,90,0.003825421800138429,7168.95,2054.1
insertionsort,10,2.5146450207103042e-05,41.3,20.0
insertionsort,20,9.157904714811594e-05,172.9,84.6
insertionsort,30,0.0003083961521042511,394.4,190.75
insertionsort,40,0.00034553285222500564,742.95,376.8
insertionsort,50,0.0006006238967529498,1166.2,589.2
insertionsort,60,0.0009687675497843884,1684.45,873.15
insertionsort,70,0.0011864347499795258,2297.7,1162.3
insertionsort,80,0.0016072881495347246,3005.95,1526.5
insertionsort,90,0.0020964302544598467,3809.2,1938.85
insertionsort2,10,4.468524712137878e-05,65.0,6.6
insertionsort2,20,0.00010776519775390625,230.0,16.35
insertionsort2,30,0.00020490384922595696,495.0,26.0
insertionsort2,40,0.0004330347495852038,860.0,35.65
insertionsort2,50,0.0005066799014457502,1325.0,45.7
insertionsort2,60,0.0008754792492254637,1890.0,55.4
insertionsort2,70,0.0010548369988100602,2555.0,65.15
insertionsort2,80,0.0012984804052393883,3320.0,75.35
insertionsort2,90,0.0014728322523296811,4185.0,84.9
insertionsort3,10,4.472370201256126e-05,65.0,6.6
insertionsort3,20,0.00010497549956198782,230.0,16.35
insertionsort3,30,0.00015797350206412376,495.0,26.0
insertionsort3,40,0.0002566021983511746,860.0,35.65
insertionsort3,50,0.00040417175623588266,1325.0,45.7
insertionsort3,60,0.0005355578032322228,1890.0,55.4
insertionsort3,70,0.0006882688525365665,2555.0,65.15
insertionsort3,80,0.0009148861499852501,3320.0,75.35
insertionsort3,90,0.0011065003476687708,4185.0,84.9
