algorithm,length,t,comps,swaps
bubblesort,10,4.926720284856856e-05,90.0,24.8
bubblesort,20,0.0002948333974927664,380.0,93.4
bubblesort,30,0.0003672474034829065,870.0,212.2
bubblesort,40,0.0006258430017624051,1560.0,384.3
bubblesort,50,0.001218259401503019,2450.0,618.0
bubblesort,60,0.001673736298107542,3540.0,882.6
bubblesort,70,0.0023341221967712045,4830.0,1224.6
bubblesort,80,0.003568995598470792,6320.0,1575.0
bubblesort,90,0.006658905601943843,8010.0,1979.9
bubblesort,100,0.006194313903688453,9900.0,2455.5
bubblesort,150,0.010791380103910342,22350.0,5522.8
bubblesort,200,0.019966824806760996,39800.0,9943.5
bubblesort,250,0.031541183500667105,62250.0,15459.7
bubblesort,300,0.04324357730220072,89700.0,22429.9
bubblesort,350,0.06920289419940673,122150.0,30416.9
bubblesort,400,0.08983588650298771,159600.0,39863.1
bubblesort,450,0.13262516349786893,202050.0,50265.9
bubblesort,500,0.15525332529505248,249500.0,62010.2
bubblesort2,10,6.076279969420284e-05,68.4,24.8
bubblesort2,20,0.0002089184010401368,290.7,93.4
bubblesort2,30,0.00029046440031379463,754.0,212.2
bubblesort2,40,0.000551055496907793,1345.5,384.3
bubblesort2,50,0.0011335773044265807,2111.9,618.0
bubblesort2,60,0.001358629105379805,2973.6,882.6
bubblesort2,70,0.0023791131970938295,4333.2,1224.6
bubblesort2,80,0.0029175133968237787,5308.8,1575.0
bubblesort2,90,0.0036461858049733563,7048.8,1979.9
bubblesort2,100,0.004473712499020621,8613.0,2455.5
bubblesort2,150,0.012267194804735482,19712.7,5522.8
bubblesort2,200,0.02574955719464924,37033.9,9943.5
bubblesort2,250,0.06371846899564844,58739.1,15459.7
bubblesort2,300,0.047920086592785086,83122.0,22429.9
bubblesort2,350,0.10198927610181271,114576.7,30416.9
bubblesort2,400,0.08457210159685928,151460.4,39863.1
bubblesort2,450,0.10263181650079786,189343.3,50265.9
bubblesort2,500,0.1285977694002213,229540.0,62010.2
insertionsort2,10,4.861900524701923e-05,65.0,7.4
insertionsort2,20,0.00011045669962186366,230.0,17.4
insertionsort2,30,0.0004063728963956237,495.0,26.1
insertionsort2,40,0.0003772361000301316,860.0,36.0
insertionsort2,50,0.00048462320119142533,1325.0,46.1
insertionsort2,60,0.0012409284012392164,1890.0,55.4
insertionsort2,70,0.0013437617977615445,2555.0,64.8
insertionsort2,80,0.0026941713003907353,3320.0,75.6
insertionsort2,90,0.002333969800383784,4185.0,83.8
insertionsort2,100,0.0018786453001666814,5150.0,94.8
insertionsort2,150,0.0038656844961224126,11475.0,143.9
insertionsort2,200,0.011320822400739417,20300.0,194.3
insertionsort2,250,0.009674755396554246,31625.0,243.8
insertionsort2,300,0.019358548396849074,45450.0,292.9
insertionsort2,350,0.02300579229777213,61775.0,343.3
insertionsort2,400,0.03174316570512019,80600.0,393.7
insertionsort2,450,0.038703488191822545,101925.0,443.4
insertionsort2,500,0.054261801292886956,125750.0,493.4
insertionsort3,10,4.713619127869606e-05,65.0,7.4
insertionsort3,20,9.965609642677009e-05,230.0,17.4
insertionsort3,30,0.00017495589272584767,495.0,26.1
insertionsort3,40,0.00028294550138525666,860.0,36.0
insertionsort3,50,0.0006028674979461357,1325.0,46.1
insertionsort3,60,0.0004848605050938204,1890.0,55.4
insertionsort3,70,0.0006771760992705822,2555.0,64.8
insertionsort3,80,0.0011807096016127616,3320.0,75.6
insertionsort3,90,0.0010446167027112097,4185.0,83.8
insertionsort3,100,0.0016374054976040497,5150.0,94.8
insertionsort3,150,0.003116408802452497,11475.0,143.9
insertionsort3,200,0.006670507896342315,20300.0,194.3
insertionsort3,250,0.008778901991900057,31625.0,243.8
insertionsort3,300,0.017190385400317608,45450.0,292.9
insertionsort3,350,0.024331233205157333,61775.0,343.3
insertionsort3,400,0.028208924300270156,80600.0,393.7
insertionsort3,450,0.0330923023953801,101925.0,443.4
insertionsort3,500,0.03877314470009878,125750.0,493.4
