algorithm,length,t,comps,swaps
insertionsort,10,3.503920161165297e-05,41.4,20.0
insertionsort,20,0.00014790770364925265,172.9,85.4
insertionsort,30,0.0002968599961604923,394.4,174.8
insertionsort,40,0.0004707565036369488,705.9,288.6
insertionsort,50,0.0004870343953371048,1107.3,444.2
insertionsort,60,0.000683230796130374,1598.8,625.7
insertionsort,70,0.000921913399361074,2180.4,845.9
insertionsort,80,0.0012608367978828028,2851.9,1067.0
insertionsort,90,0.0015423804026795552,3613.4,1353.8
insertionsort2,10,4.5307897380553186e-05,65.0,6.9
insertionsort2,20,0.00011039580276701599,230.0,16.9
insertionsort2,30,0.00019494130101520567,495.0,26.3
insertionsort2,40,0.0003446340997470543,860.0,35.8
insertionsort2,50,0.00047183090646285564,1325.0,45.5
insertionsort2,60,0.0006395709002390504,1890.0,54.2
insertionsort2,70,0.0009227649046806618,2555.0,65.8
insertionsort2,80,0.0011053552007069811,3320.0,75.9
insertionsort2,90,0.0013783371017780156,4185.0,84.8
insertionsort3,10,2.9781096964143215e-05,65.0,6.9
insertionsort3,20,7.868399552535266e-05,230.0,16.9
insertionsort3,30,0.0001569876942085102,495.0,26.3
insertionsort3,40,0.0002487709018168971,860.0,35.8
insertionsort3,50,0.0003773504955461249,1325.0,45.5
insertionsort3,60,0.0005572441034018994,1890.0,54.2
insertionsort3,70,0.000737203797325492,2555.0,65.8
insertionsort3,80,0.0009859983081696555,3320.0,75.9
insertionsort3,90,0.0011852428055135534,4185.0,84.8
