algorithm,length,t,comps,swaps
bubblesort,10,3.73672999558039e-05,90.0,19.9
bubblesort,20,0.0001377217486151494,380.0,95.05
bubblesort,30,0.00032042485399870203,870.0,220.05
bubblesort,40,0.0006187807492096908,1560.0,401.2
bubblesort,50,0.0009604924518498593,2450.0,625.95
bubblesort,60,0.0014458885954809376,3540.0,910.5
bubblesort,70,0.0018309776511159725,4830.0,1215.2
bubblesort,80,0.002516389955417253,6320.0,1594.0
bubblesort,90,0.0031076588973519394,8010.0,2032.25
bubblesort,100,0.0038559138498385436,9900.0,2493.6
bubblesort,250,0.024297595996176823,62250.0,15687.2
bubblesort,500,0.09790037415223196,249500.0,62398.35
bubblesort2,10,3.179095510859042e-05,61.2,19.9
bubblesort2,20,0.00012356830266071483,306.85,95.05
bubblesort2,30,0.0003259744000388309,726.45,220.05
bubblesort2,40,0.0005507467983989045,1304.55,401.2
bubblesort2,50,0.0008316385996295139,2072.7,625.95
bubblesort2,60,0.0012952002492966131,3068.0,910.5
bubblesort2,70,0.0016500910991453567,4229.7,1215.2
bubblesort2,80,0.00246111974993255,5660.35,1594.0
bubblesort2,90,0.0027901194000151007,7173.4,2032.25
bubblesort2,100,0.003716269247524906,8880.3,2493.6
bubblesort2,250,0.023033481996390038,58166.4,15687.2
bubblesort2,500,0.09595296915067593,236201.65,62398.35
insertionsort2,10,4.9090251559391616e-05,65.0,6.9
insertionsort2,20,0.00010912890429608524,230.0,16.05
insertionsort2,30,0.00019673269853228703,495.0,26.1
insertionsort2,40,0.00031208810105454177,860.0,35.7
insertionsort2,50,0.000457033803104423,1325.0,45.8
insertionsort2,60,0.0006593847007025033,1890.0,55.35
insertionsort2,70,0.0009091851985431276,2555.0,64.4
insertionsort2,80,0.0012176811986137181,3320.0,76.05
insertionsort2,90,0.0012962099004653282,4185.0,85.7
insertionsort2,100,0.0016132967037265189,5150.0,94.4
insertionsort2,250,0.009511422101058997,31625.0,243.15
insertionsort2,500,0.038727302047482225,125750.0,493.6
insertionsort3,10,3.224954707548022e-05,65.0,6.9
insertionsort3,20,7.78205503593199e-05,230.0,16.05
insertionsort3,30,0.00019219000096200035,495.0,26.1
insertionsort3,40,0.00026595064846333114,860.0,35.7
insertionsort3,50,0.00037154049932723864,1325.0,45.8
insertionsort3,60,0.0005109415506012738,1890.0,55.35
insertionsort3,70,0.0006912949495017529,2555.0,64.4
insertionsort3,80,0.0009030867018736899,3320.0,76.05
insertionsort3,90,0.001111616744310595,4185.0,85.7
insertionsort3,100,0.0013164028525352478,5150.0,94.4
insertionsort3,250,0.008156964300724212,31625.0,243.15
insertionsort3,500,0.03237636470003054,125750.0,493.6
