algorithm,length,t,comps,swaps
insertionsort,10,2.677799784578383e-05,37.8,19.0
insertionsort,20,9.127539815381169e-05,172.9,77.0
insertionsort,30,0.00020588380575645716,394.4,190.0
insertionsort,40,0.00037710520555265246,705.9,351.4
insertionsort,50,0.0005146289011463522,1107.4,537.8
insertionsort,60,0.0008649262017570436,1770.0,884.1
insertionsort,70,0.0012524560093879699,2415.0,1212.8
insertionsort,80,0.0015197142987744884,3160.0,1590.3
insertionsort,90,0.0018993047036929057,4005.0,1995.8
insertionsort2,10,5.415279592853039e-05,65.0,6.8
insertionsort2,20,0.00010994969925377518,230.0,16.5
insertionsort2,30,0.00020904669945593924,495.0,25.3
insertionsort2,40,0.0004114348004804924,860.0,36.2
insertionsort2,50,0.0004702860926045105,1325.0,45.8
insertionsort2,60,0.0006615159974899143,1890.0,55.7
insertionsort2,70,0.0008605607989011332,2555.0,65.4
insertionsort2,80,0.0010900167952058836,3320.0,75.3
insertionsort2,90,0.0013602243969216942,4185.0,84.8
insertionsort3,10,3.148409887216985e-05,65.0,6.8
insertionsort3,20,8.200349984690546e-05,230.0,16.5
insertionsort3,30,0.00018813479982782155,495.0,25.3
insertionsort3,40,0.0002616032987134531,860.0,36.2
insertionsort3,50,0.0004743039957247674,1325.0,45.8
insertionsort3,60,0.0005939562950516119,1890.0,55.7
insertionsort3,70,0.0006994603987550363,2555.0,65.4
insertionsort3,80,0.0009485001035500317,3320.0,75.3
insertionsort3,90,0.001312818200676702,4185.0,84.8
