algorithm,length,t,comps,swaps
bubblesort,10,9.84369486104697e-05,90.0,23.9
bubblesort,20,0.00014074545470066369,380.0,96.05
bubblesort,30,0.000368085598165635,870.0,214.4
bubblesort,40,0.0005785536501207389,1560.0,381.2
bubblesort,50,0.0010843944997759535,2450.0,608.45
bubblesort,60,0.0017781685513909907,3540.0,879.05
bubblesort,70,0.002347211052256171,4830.0,1202.35
bubblesort,80,0.002683288101979997,6320.0,1564.65
bubblesort,90,0.0034104780002962797,8010.0,2003.0
bubblesort,100,0.004193177502020262,9900.0,2457.9
bubblesort,250,0.029059570653771516,62250.0,15734.15
bubblesort,500,0.13086480330384803,249500.0,62717.7
bubblesort2,10,0.005795312002010178,68.85,23.9
bubblesort2,20,0.00016279639821732418,297.35,96.05
bubblesort2,30,0.0006618051018449477,717.75,214.4
bubblesort2,40,0.0017094761977205053,1283.1,381.2
bubblesort2,50,0.0013578877478721552,2033.5,608.45
bubblesort2,60,0.0016598403977695852,3088.65,879.05
bubblesort2,70,0.0021650459530064836,4198.65,1202.35
bubblesort2,80,0.0027879327506525444,5601.1,1564.65
bubblesort2,90,0.003627924002648797,7031.0,2003.0
bubblesort2,100,0.003952711145393551,8509.05,2457.9
bubblesort2,250,0.03168432934908196,59112.6,15734.15
bubblesort2,500,0.10832578320259927,238621.8,62717.7
insertionsort,10,2.815584884956479e-05,45.0,23.9
insertionsort,20,9.454874525545165e-05,190.0,96.05
insertionsort,30,0.00021408610045909883,435.0,214.4
insertionsort,40,0.00039040789852151647,780.0,381.2
insertionsort,50,0.0006332090517389588,1225.0,608.45
insertionsort,60,0.000898845650954172,1770.0,878.85
insertionsort,70,0.0014179333942593076,2415.0,1201.4
insertionsort,80,0.0016149097005836665,3160.0,1562.65
insertionsort,90,0.004061392102448736,4005.0,1999.2
insertionsort,100,0.005618550399958622,4950.0,2452.2
insertionsort,250,0.017346088847261854,31125.0,15616.25
insertionsort,500,0.06480887034995249,124750.0,61781.0
insertionsort2,10,5.8398047985974697e-05,65.0,7.5
insertionsort2,20,0.00010607060103211552,230.0,16.45
insertionsort2,30,0.00019344224710948765,495.0,25.7
insertionsort2,40,0.0003338707465445623,860.0,35.9
insertionsort2,50,0.00046076760918367654,1325.0,45.85
insertionsort2,60,0.0007438100496074185,1890.0,55.15
insertionsort2,70,0.0009996265012887306,2555.0,65.15
insertionsort2,80,0.001317716354969889,3320.0,74.95
insertionsort2,90,0.0014653905003797264,4185.0,84.3
insertionsort2,100,0.0016950379504123703,5150.0,94.9
insertionsort2,250,0.010373589998926036,31625.0,244.05
insertionsort2,500,0.05075220260041533,125750.0,492.75
insertionsort3,10,3.366639866726473e-05,65.0,7.5
insertionsort3,20,7.928745180834085e-05,230.0,16.45
insertionsort3,30,0.0001516499512945302,495.0,25.7
insertionsort3,40,0.00024683384981472045,860.0,35.9
insertionsort3,50,0.00037109494587639347,1325.0,45.85
insertionsort3,60,0.000528487900737673,1890.0,55.15
insertionsort3,70,0.0009424670002772473,2555.0,65.15
insertionsort3,80,0.0034155055036535487,3320.0,74.95
insertionsort3,90,0.0029440665515721776,4185.0,84.3
insertionsort3,100,0.0039370699465507645,5150.0,94.9
insertionsort3,250,0.01197379354707664,31625.0,244.05
insertionsort3,500,0.03373776784719666,125750.0,492.75
