algorithm,length,t,comps,swaps
bubblesort,10,5.5264895490836355e-05,90.0,23.75
bubblesort,20,0.00015948509972076863,380.0,98.15
bubblesort,30,0.0003681122514535673,870.0,221.85
bubblesort,40,0.0005998511522193439,1560.0,386.65
bubblesort,50,0.0009156807980616577,2450.0,606.8
bubblesort,60,0.0013520142500055953,3540.0,888.85
bubblesort,70,0.0018176884026615881,4830.0,1223.5
bubblesort,80,0.002684935001889244,6320.0,1576.05
bubblesort,90,0.0031100495558348483,8010.0,1969.6
bubblesort,100,0.004268582598888316,9900.0,2450.55
bubblesort,250,0.026395929002319463,62250.0,15709.15
bubblesort,500,0.10553424284735229,249500.0,63345.7
bubblesort2,10,5.637820140691474e-05,67.05,23.75
bubblesort2,20,0.00018031965300906448,303.05,98.15
bubblesort2,30,0.0003141062494250946,720.65,221.85
bubblesort2,40,0.0005442665991722606,1281.15,386.65
bubblesort2,50,0.0009779448984772899,2114.35,606.8
bubblesort2,60,0.0013105953505146318,3056.2,888.85
bubblesort2,70,0.0017804259521653875,4157.25,1223.5
bubblesort2,80,0.0022999724955298007,5482.6,1576.05
bubblesort2,90,0.0029933144978713244,6919.75,1969.6
bubblesort2,100,0.004069938152679242,8875.35,2450.55
bubblesort2,250,0.02455321179731982,57456.75,15709.15
bubblesort2,500,0.1085558407488861,235203.65,63345.7
insertionsort2,10,4.5755907194688916e-05,65.0,7.15
insertionsort2,20,0.0002303471526829526,230.0,16.45
insertionsort2,30,0.0008081396052148193,495.0,25.65
insertionsort2,40,0.0011350874017807655,860.0,36.3
insertionsort2,50,0.0007107049517799169,1325.0,45.95
insertionsort2,60,0.0008342748493305408,1890.0,55.45
insertionsort2,70,0.0009393480460857973,2555.0,65.05
insertionsort2,80,0.001103572994179558,3320.0,74.75
insertionsort2,90,0.001378401299007237,4185.0,85.25
insertionsort2,100,0.0016982050467049703,5150.0,95.2
insertionsort2,250,0.01020522710023215,31625.0,243.65
insertionsort2,500,0.04282953699876089,125750.0,493.85
insertionsort3,10,4.5979302376508714e-05,65.0,7.15
insertionsort3,20,0.00016567569982726127,230.0,16.45
insertionsort3,30,0.00023860180081101135,495.0,25.65
insertionsort3,40,0.00026240095030516386,860.0,36.3
insertionsort3,50,0.0003792413990595378,1325.0,45.95
insertionsort3,60,0.0005294318456435576,1890.0,55.45
insertionsort3,70,0.0021197350026341153,2555.0,65.05
insertionsort3,80,0.0026257720979629084,3320.0,74.75
insertionsort3,90,0.002566255249257665,4185.0,85.25
insertionsort3,100,0.0029309500023373403,5150.0,95.2
insertionsort3,250,0.015126888497616165,31625.0,243.65
insertionsort3,500,0.04866931754513644,125750.0,493.85
