algorithm,length,t,comps,swaps
bubblesort,10,7.374429551418871e-05,90.0,20.2
bubblesort,20,0.0001565406972076744,380.0,82.2
bubblesort,30,0.0003407925018109381,870.0,196.6
bubblesort,40,0.0006083377083996311,1560.0,386.2
bubblesort,50,0.001098072004970163,2450.0,640.5
bubblesort,60,0.002214099795673974,3540.0,897.8
bubblesort,70,0.002086183099891059,4830.0,1232.6
bubblesort,80,0.003023814203334041,6320.0,1583.7
bubblesort,90,0.0032485603995155545,8010.0,1991.2
bubblesort,100,0.003780137503053993,9900.0,2435.9
bubblesort,150,0.00895568389678374,22350.0,5591.6
bubblesort,200,0.016876316201523876,39800.0,10021.7
bubblesort,250,0.025952930297353304,62250.0,15664.5
bubblesort,300,0.03869248169939965,89700.0,22371.9
bubblesort,350,0.05119964289769996,122150.0,30437.3
bubblesort,400,0.06479981099837459,159600.0,40392.8
bubblesort,450,0.08489006170129869,202050.0,51220.5
bubblesort,500,0.10404798609670252,249500.0,63048.1
bubblesort2,10,3.107420052401721e-05,63.0,20.2
bubblesort2,20,0.0001229460001923144,323.0,82.2
bubblesort2,30,0.0002738643990596756,701.8,196.6
bubblesort2,40,0.0007086807978339493,1361.1,386.2
bubblesort2,50,0.001047406400903128,2278.5,640.5
bubblesort2,60,0.0014243337966036052,3050.3,897.8
bubblesort2,70,0.001824747704085894,4112.4,1232.6
bubblesort2,80,0.003057844401337206,5561.6,1583.7
bubblesort2,90,0.0030116770009044557,7137.8,1991.2
bubblesort2,100,0.003689170500729233,8900.1,2435.9
bubblesort2,150,0.008241176293813624,20442.8,5591.6
bubblesort2,200,0.01627879019943066,36297.6,10021.7
bubblesort2,250,0.02457319529785309,57917.4,15664.5
bubblesort2,300,0.034616412504692565,83480.8,22371.9
bubblesort2,350,0.0451253061008174,113041.1,30437.3
bubblesort2,400,0.06095097029756289,151061.4,40392.8
bubblesort2,450,0.085353386492352,189971.9,51220.5
bubblesort2,500,0.10192310308921151,240418.2,63048.1
insertionsort2,10,4.384700150694698e-05,65.0,7.0
insertionsort2,20,0.00010340100270695984,230.0,16.2
insertionsort2,30,0.00022702700225636364,495.0,25.8
insertionsort2,40,0.0003802220046054572,860.0,35.1
insertionsort2,50,0.000876459406572394,1325.0,46.6
insertionsort2,60,0.0006911744043463841,1890.0,55.5
insertionsort2,70,0.0007884890015702695,2555.0,66.1
insertionsort2,80,0.0010114824952324852,3320.0,75.0
insertionsort2,90,0.0013281291991006582,4185.0,84.3
insertionsort2,100,0.0016245032951701433,5150.0,93.4
insertionsort2,150,0.0035397603031015025,11475.0,144.2
insertionsort2,200,0.006167155006551184,20300.0,193.7
insertionsort2,250,0.009930011301185005,31625.0,244.4
insertionsort2,300,0.015236651001032442,45450.0,293.2
insertionsort2,350,0.020221919994219205,61775.0,344.0
insertionsort2,400,0.02634160549787339,80600.0,393.8
insertionsort2,450,0.044945709395688024,101925.0,443.5
insertionsort2,500,0.04170035300485324,125750.0,494.0
insertionsort3,10,4.5296404277905825e-05,65.0,7.0
insertionsort3,20,0.0001789367030141875,230.0,16.2
insertionsort3,30,0.00021081430022604764,495.0,25.8
insertionsort3,40,0.00036369379959069195,860.0,35.1
insertionsort3,50,0.0006941889965673909,1325.0,46.6
insertionsort3,60,0.0006636089005041867,1890.0,55.5
insertionsort3,70,0.0007062805001623928,2555.0,66.1
insertionsort3,80,0.0009040942037245259,3320.0,75.0
insertionsort3,90,0.0012884877971373499,4185.0,84.3
insertionsort3,100,0.0014797372015891597,5150.0,93.4
insertionsort3,150,0.003200349898543209,11475.0,144.2
insertionsort3,200,0.005350749799981713,20300.0,193.7
insertionsort3,250,0.007771417891490273,31625.0,244.4
insertionsort3,300,0.01466948609740939,45450.0,293.2
insertionsort3,350,0.016741587303113193,61775.0,344.0
insertionsort3,400,0.021335232400451785,80600.0,393.8
insertionsort3,450,0.028340918806497938,101925.0,443.5
insertionsort3,500,0.03317708179820329,125750.0,494.0
