algorithm,length,t
insertionsort3,50,0.006740815006196499
insertionsort3,50,0.007348581988480873
insertionsort3,50,0.0053038089972687885
insertionsort3,50,0.005253316005109809
insertionsort3,50,0.0038473610038636252
insertionsort3,50,0.0034592809970490634
insertionsort3,50,0.004115004005143419
insertionsort3,50,0.0035453019954729825
insertionsort3,100,0.016870906998519786
insertionsort3,100,0.017854852994787507
insertionsort3,100,0.01414996299718041
insertionsort3,100,0.01620258399634622
insertionsort3,100,0.0205535129935015
insertionsort3,100,0.014602485010982491
insertionsort3,100,0.01683173699711915
insertionsort3,100,0.017667028994765133
insertionsort3,100,0.01453910100099165
insertionsort3,100,0.020959050991223194
insertionsort3,150,0.058595631999196485
insertionsort3,150,0.06523451399698388
insertionsort3,150,0.054882897005882114
insertionsort3,150,0.03813519600953441
insertionsort3,150,0.035612833002232946
insertionsort3,150,0.026325521001126617
insertionsort3,150,0.03727402900403831
insertionsort3,150,0.03734867399907671
insertionsort3,150,0.025665991997811943
insertionsort3,150,0.03772628399019595
insertionsort3,200,0.05781735900382046
insertionsort3,200,0.06902594400162343
insertionsort3,200,0.06042014400009066
insertionsort3,200,0.05585061400779523
insertionsort3,200,0.05788958500488661
insertionsort3,200,0.06172699200396892
insertionsort3,200,0.060331312008202076
insertionsort3,200,0.05667593800171744
insertionsort3,200,0.06854838100844063
insertionsort3,200,0.05682652299583424
insertionsort3,250,0.07889492399408482
insertionsort3,250,0.09101535899390001
insertionsort3,250,0.09888002100342419
insertionsort3,250,0.0910655810002936
insertionsort3,250,0.0862123089900706
insertionsort3,250,0.077580028999364
insertionsort3,250,0.08940659801010042
insertionsort3,250,0.08862298299209215
insertionsort3,250,0.08095695999509189
insertionsort3,250,0.08884875899821054
insertionsort3,300,0.12583402999734972
insertionsort3,300,0.13186234499153215
insertionsort3,300,0.13199497599271126
insertionsort3,300,0.1332165170024382
insertionsort3,300,0.13186285499250516
insertionsort3,300,0.12193554500117898
insertionsort3,300,0.1351367909956025
insertionsort3,300,0.11850193799182307
insertionsort3,300,0.13338413900055457
insertionsort3,300,0.12483585099107586
