algorithm,length,t
bubblesort,10,0.000681886012898758
bubblesort,10,0.0007774760015308857
bubblesort,10,0.0003888380015268922
bubblesort,10,0.0007002589991316199
bubblesort,10,0.00042555300751701
bubblesort,10,0.0003733649937203154
bubblesort,10,0.00035035700420849025
bubblesort,10,0.00035522200050763786
bubblesort,10,0.0003703719994518906
bubblesort,10,0.00036800099769607186
bubblesort,25,0.002328702001250349
bubblesort,25,0.008473668989608996
bubblesort,25,0.02229413100576494
bubblesort,25,0.021525645002839155
bubblesort,25,0.012103643995942548
bubblesort,25,0.006354497003485449
bubblesort,25,0.004848086988204159
bubblesort,25,0.002074474992696196
bubblesort,25,0.002512898005079478
bubblesort,25,0.0033816770010162145
bubblesort,50,0.008229900995502248
bubblesort,50,0.016729619004763663
bubblesort,50,0.015412691995152272
bubblesort,50,0.00948396600142587
bubblesort,50,0.008763648002059199
bubblesort,50,0.016322303999913856
bubblesort,50,0.014143620996037498
bubblesort,50,0.009766254006535746
bubblesort,50,0.00858120500924997
bubblesort,50,0.01358759000140708
bubblesort,100,0.04321412600984331
bubblesort,100,0.04432929999893531
bubblesort,100,0.04250416799914092
bubblesort,100,0.04833083999983501
bubblesort,100,0.043998281995300204
bubblesort,100,0.044774668000172824
bubblesort,100,0.045007341002929024
bubblesort,100,0.04585855599725619
bubblesort,100,0.048022197996033356
bubblesort,100,0.04879446899576578
bubblesort,150,0.10071927000535652
bubblesort,150,0.09938902100839186
bubblesort,150,0.10310329799540341
bubblesort,150,0.10176054900512099
bubblesort,150,0.10401433700462803
bubblesort,150,0.13477870399947278
bubblesort,150,0.10422247399401385
bubblesort,150,0.10495745400839951
bubblesort,150,0.10792127500462811
bubblesort,150,0.09962968200852629
bubblesort,200,0.17079045801074244
bubblesort,200,0.19898705100058578
bubblesort,200,0.18822046200511977
bubblesort,200,0.20025337699917145
bubblesort,200,0.19013077499403153
bubblesort,200,0.1755184770008782
bubblesort,200,0.17290289000084158
bubblesort,200,0.17814775501028635
bubblesort,200,0.1894237719970988
bubblesort,200,0.20909583299362566
bubblesort,250,0.3865364730008878
bubblesort,250,0.2918404170050053
bubblesort,250,0.27873619701131247
bubblesort,250,0.2872250439977506
bubblesort,250,0.29692192999937106
bubblesort,250,0.28511084499768913
bubblesort,250,0.29256534299929626
bubblesort,250,0.2802044929994736
bubblesort,250,0.29941395099740475
bubblesort,250,0.2828805210010614
bubblesort,300,0.4429985089955153
bubblesort,300,0.43635813299624715
bubblesort,300,0.4294608329946641
bubblesort,300,0.424127240999951
bubblesort,300,0.4603834790032124
bubblesort,300,0.46041658699687105
bubblesort,300,0.4259852089890046
bubblesort,300,0.4375370929919882
bubblesort,300,0.41626752199954353
bubblesort,300,0.4177310149971163
insertionsort,10,0.00032556299993302673
insertionsort,10,0.0003007949999300763
insertionsort,10,0.00026430300204083323
insertionsort,10,0.0002453370107105002
insertionsort,10,0.0002828980068443343
insertionsort,10,0.00027765100821852684
insertionsort,10,0.00026674500259105116
insertionsort,10,0.00028306500462349504
insertionsort,10,0.00023402700026053935
insertionsort,10,0.00028851999377366155
insertionsort,25,0.0014656339917564765
insertionsort,25,0.00136451399885118
insertionsort,25,0.001368950994219631
