algorithm,length,t,comps,swaps
bubblesort,10,0.00012465375330066307,90.0,23.8
bubblesort,20,0.00016355419938918203,380.0,94.8
bubblesort,30,0.00037206080451142044,870.0,212.9
bubblesort,40,0.0008268189994851127,1560.0,380.3
bubblesort,50,0.0009445803982089274,2450.0,619.2
bubblesort,60,0.001515079350792803,3540.0,908.85
bubblesort,70,0.0019271405006293207,4830.0,1224.05
bubblesort,80,0.002640384998812806,6320.0,1601.1
bubblesort,90,0.0036327272973721847,8010.0,2066.15
bubblesort,100,0.004605545403319411,9900.0,2548.8
bubblesort,250,0.02873949254717445,62250.0,15605.85
bubblesort,500,0.1628745508962311,249500.0,62084.95
bubblesort2,10,6.677924975519999e-05,68.4,23.8
bubblesort2,20,0.00019008489907719196,303.05,94.8
bubblesort2,30,0.00030377715011127294,717.75,212.9
bubblesort2,40,0.0007487173526897096,1287.0,380.3
bubblesort2,50,0.0012673233024543152,2111.9,619.2
bubblesort2,60,0.001610244002949912,3177.15,908.85
bubblesort2,70,0.0018731420423137024,4209.0,1224.05
bubblesort2,80,0.0031748928522574715,5660.35,1601.1
bubblesort2,90,0.0030398380491533316,7200.1,2066.15
bubblesort2,100,0.0035025457007577645,8707.05,2548.8
bubblesort2,250,0.027434643647575287,57568.8,15605.85
bubblesort2,500,0.12168428360164399,235428.2,62084.95
insertionsort2,10,4.7236699901986864e-05,65.0,7.3
insertionsort2,20,0.00011021195241482929,230.0,16.7
insertionsort2,30,0.00021036094840383158,495.0,26.6
insertionsort2,40,0.00031349090568255633,860.0,35.6
insertionsort2,50,0.0005150246506673284,1325.0,45.3
insertionsort2,60,0.0008414934040047228,1890.0,54.65
insertionsort2,70,0.0009803916051168925,2555.0,66.1
insertionsort2,80,0.0011355306021869182,3320.0,76.05
insertionsort2,90,0.001578243546828162,4185.0,85.25
insertionsort2,100,0.0025437011499889195,5150.0,94.0
insertionsort2,250,0.011592618652503005,31625.0,243.55
insertionsort2,500,0.04454038935364224,125750.0,493.2
insertionsort3,10,3.8976602081675085e-05,65.0,7.3
insertionsort3,20,0.00010192910121986642,230.0,16.7
insertionsort3,30,0.00019813304825220258,495.0,26.6
insertionsort3,40,0.0004678977042203769,860.0,35.6
insertionsort3,50,0.0004321325992350467,1325.0,45.3
insertionsort3,60,0.0005349670973373577,1890.0,54.65
insertionsort3,70,0.0007168200536398217,2555.0,66.1
insertionsort3,80,0.0009650084495660849,3320.0,76.05
insertionsort3,90,0.0011249703020439483,4185.0,85.25
insertionsort3,100,0.0013723682961426676,5150.0,94.0
insertionsort3,250,0.008859772203140891,31625.0,243.55
insertionsort3,500,0.037961533201450945,125750.0,493.2
